Dir,FileName,SOMType,Why
/bv,南部軟體版本.txt,all,非BV機檔案
/bv/System,ticket.bin,all,非正式票價參數
/bv/System,driverid.bin,all,非正式司機D
/bv/System,UndueTicket.bin,all,非BV機檔案
/bv,<_io.TextIOWrapper name='ErrReport.csv' mode='a' encoding='cp950'>,all,傳輸錯誤檔案
/bv/System,TXNTmp0,all,非BV機檔案
/bv/System,UndueParam.bin,all,未到期參數
/bv/System,black.bin,all,未知黑名單
/bv/System,DriverID20120525.bin,all,非BV機檔案
/bv/System,UnActTicket.bin,all,非BV機檔案
/bv/System,UnActRouteName.bin,all,非BV機檔案
/bv/System,Black.7z,all,非BV機檔案
/bv,cacert.pem,all,豪泰客運用的憑證檔
/bv,Test_wpa_supplicant.conf,all,非BV機檔案
/bv,wpa_supplicant.conf,new,Wifi連線設定檔
/bv,tmpBoarding,all,上下車交易通信檔（前後機用)
/bv,UpdateTmp,all,更新用暫存檔
/bv/System,White.bin,new,白名單資料
/bv/System,History2,new,USB更新歷史資料2
/bv/System,History3,new,USB更新歷史資料3
/bv/System,Black.bin,new,黑名單_非所有業者適用
/bv/System,Gray.bin,new,黑名單_非所有業者適用
/bv,EventOnlineInfo.txt,new,即時傳輸資料
/bv,Revenue.bin,new,結班累積金額
/bv,tmpEzc,new,悠遊卡的交易資料暫存檔
/bv,tmpKrtc,new,一卡通交易資料暫存檔
/bv,UUPayOnlinePoint.bin,new,QR交易即時傳輸索引檔
/bv,tmpStopTrxCount,new,BV機暫存檔
/bv/System,ECC_QR_API_INI.json,new,以USB更新時會出現
/bv/System,History1,new,以USB更新時會出現
/bv,InBox,new,待上傳結班資料目錄
/bv,Transfered,new,傳輸後備份目錄
/bv,EventOnlinePoint.bin,new,即時事件傳輸索引檔
/bv,OnlinePoint.bin,new,豪泰客運即時事件索引檔
/bv,OnlineInfo.txt,new,豪泰客運即時事件本文檔
/bv,mplayer,all,測試軟體用參數
/bv,BV_DefVoice,all,測試軟體用音檔資料夾
