Dir,FileName,SOMType,Why
/bv,System,all,系統參數資料夾
/bv/System,CF_List.txt,all,CF卡硬體類型
/bv/System,DeviceSet.txt,all,設備基本參數設定
/bv/System,DriverID.bin,all,司機編碼
/bv/System,RouteName.bin,all,票價參數
/bv/System,SupplyNo.txt,all,廠商編碼
/bv/System,Ticket.bin,all,路線參數
/bv,InBox,all,未傳輸交易資料
/bv,SDKStore,all,
/bv,Transfered,all,已傳輸交易資料
/bv,Voice,all,語音檔資料夾
/bv,ECC_QR_API_INI.json,all,悠遊付初始化檔
/bv,libcrypto.so,all,TLS用檔案
/bv,libcrypto.so.1.0.0,all,TLS用檔案
/bv,libssl.so,all,TLS用檔案
/bv,libssl.so.1.0.0,all,TLS用檔案
/bv,Mitac_BV,all,主程式
/bv,Sound,all,
/bv,EventOnlineInfo.txt,repair,悠遊付參數資訊
/bv,BV_DefVoice,repair,測試模式使用音檔
/bv,QRAPIData,repair,
/bv,mplayer,repair,測試程式用參數檔
